team_id	team_name	github_owner	repos
0812	midnight-mechanics	preuss812	FRC_2026 FRC_2025 FRC_2024 FRC_2023 FRC_2022 FRC_2020 FRC_2019 FRC_2018 FRC_2017 FRC_2016 FRC_2015 FRC_2014 FRC_2013 FRC_2012 FRC_2011 ShooterTargeting ArmSim_2025
1538	holy-cows	TheHolyCows	1538_2025 1538_2024 1538_2023 1538_2024-offseason 1538_2022 1538_2019 1538_2018 1538_2017 1538_2016 1538_2015 1538_2014_Release
1572	hammer-heads	HammerHeads1572	1572-Robot-2024 2023-Java-Robot-Code
1622	team-spyder	FRC1622Spyder	2017Code 2016Code 2015Code 2014Code 2014Tracking Real2013Code 2013Dash introrobotics
2102	team-paradox	Paradox2102	2026_Rebuilt 2026_Protobot 2025Bermuda 2025_Reefscape 2024_Crescendo 2023-ChargedUp 2023_OffseasonSwerve 2023_OffseasonSwerve_2025 2023_SummerUpdraft 2022-RapidReact 2022-HalfLife2 2021-Infinite-Recharge-at-Home ChristopherOrion NerfbotNarwhals
2485	overclocked	team2485	frc-2026 frc-2025 frc-2024 frc-2023 frc-2022 frc-2020 WarlordsLib Grace-ChargedUp GraceRevamp ArtemisUpdate Alice Controls-Training-2024 scoring-state-machine
2658	sigma-motion	frc-emotion	Rebuilt-2026 Reefscape-2025 Crescendo-2024 Charged-Up-2023 Rapid-React-2022 InfiniteRecharge Deep-Space-2019 2017-Code swerve-bot Swerve-Drive-Template kit-bot-2024 TankDriveBase
2839	daedalus	The-Void-Is-Near	ScrappyBot
2839	daedalus	Sacrafex	AutoSwerveAndIntakeTemplate
2984	vikings	FRCTeam2984	2026-Rebuilt-TestChassis CTRE-Swerve Java-Reefscape-Test 2984-YagslSwerve-Test Java-Crescendo Python-Crescendo-2024 ChargedUp2023 RapidReact2022 infiniterecharge2020 DeepSpace2019 ShallowSpace2019 ultimategoal2021
3128	aluminum-narwhals	team3128	3128-robot-2025 3128-prebot-2025 3128-robot-2024 3128-prebot-2024 3128-robot-2023-prebot 3128-robot-2022 3128-common 3128-swerve
3255	supernurds	FRCTeam3255	2026_Robot_Code 2026_CopyBot_Code SuperCORE Standard_Swerve_Code Standard_Turret_Code Standard_Elevator_Code 2025_Robot_Code 2025_Offbot_Code 2025_RetroBot_Code 2024_Robot_Code 2024_Offbot_Code 2024_Sportbot_Code 2023_Robot_Code 2022_Offbot_Code Robot2022
3341	option-16	frc-team-3341	2026-REBUILT-FRC-3341 2025-ReefScape 2024-Crescendo-FRC-3341 2024-Swerve Swerve-2025 2025-IAP-Swerve 2025-IAP-Elevator 2025-IAP-Shooter 2025-IAP-Climber 2025-IAP-Mecanum 2025-IAP-Robotic-Arm 2025-2026-I2RC-Preseason-
3647	millennium-falcons	MillenniumFalcons	2025-Reefscape-JarJar-Binks 2025-Crescendo-Droopy-McCool 2024-Crescendo-Droopy-McCool 2023-ChargedUp-AV7 2022-RapidReact-BB8 2022-RapidReact-Ewok 2021-InfiniteRecharge-Offseason 2021-InfiniteRecharge-AtHome 2020-InfiniteRecharge Senate-Demo-Bot 2023-Minibot
3749	team-optix	Team-Optix-3749	Core-System Team-3749-Offseason2024 Team-3749-2023 Team-3749-Offseason-2023 Robot-Taxi-Code SyntheSimJava Robot-Training-B-15
4139	easy-as-pi	team4139	Better2016code 2016-Robot-Code 2015-Robot-Code 2014-code IntroToCpp
4160	robucs	team4160	2026-Robot 2025-Robot 2024-Robot 2023-Robot 2019-Robot 2018-Iterative 2017-Robot 2016-Robot 2015-Robot 2014-Robot JavaDrive
4419	team-rewind	rewind4419	2024-Becky2 rapid-react
4738	patribots	Patribots4738	Reefscape2025 Crescendo2024 ChargedUp2023 2023-Summer-Robot Swerve-Command-Based Differential-Drive-Command-Based
4919	team-ronin	FrcTeam4919	command2026 2026Swerve2.1 SwerveBase2024 Robot_2024 2024-Swerve-Test Robot_2023 Robot2022 Robot2021 Robot_2020 Frankenbot2020 Icarus
5025	pacific-steel	PacificSteel5025	2023-Battle-at-the-Border-FRC-Competition 2023-Java 2022-San-Diego-FRC-Competition 2023-Mecanum-Practice-Robot-with-Victor-SPX 2022-Hueneme-FRC-Competition
5137	iron-kodiaks	MHHSRobotics	2026-season 2026-kitbot templates 2025Offseason 5137_2025 5137_VSCode2024 5137_2024Offseason 5137TalonSwerve Swerve-bot-off-season-2023 5137_VSCode2023 5137_VSCode2022 5137_VSCode2020 5137_VSCode2018
5474	clairemonster	ClairemonsterRobotics	ArcTan2021 Limelight OrionLimelightTesting
5477	nubotx	ST023	FRCAdvanceProgrammingTeam5477 FRCAdvanceProgramming-Team5477
5514	mavbots	Mavbots5514	2016_Robot_Code 2017_Robot_Code OpenCV
6695	galvaknights	alphaknights	2026RobotKotlin 2025RobotKotlin 2025RobotPython 2024RobotJava 2024Robotpy 2023RobotCode 2022RobotCode RomiRobotPython 2025TShirtCannon
6995	nomad	frc6995	Robot-2026 AlphaBot-2026 Robot-2025 OffSeasonBot-2025 Robot-2024 Swerve-2024 Robot-2023 Robot-2022 Robot-2022-Rewrite Swerve-2023 Swerve-2022 NOMADBase Babybot2025
8891	wild-raccoons	wildraccoons	FRC-2024-Crescendo FRC-2023-Offseason
9573	maraudertech	maraudertech-frc-9573	2026-rebuilt 2026-PostseasonTraining 2025-reefscape 2025-Training-Bot v2-crescendo-2024 2024-crescendo YAGSLexample
9730	metal-maniacs	metal-maniacs	2026RebuiltCode 2025ReefscapeCode 2024CrescendoCode
