team_id	team_name	github_owner	repos
11212	the-clueless	FTCclueless	DecodeD Decode IntoTheDeep Centerstage FTCSWStack PowerPlay BeepBeep 2021-22robotDriver UltimateSteal2021 Blitz_Ball
15171	scorpio	FTC-Team-Scorpio	Scorpio_19-20_Skystone Scorpio_18-19_RoverRuckus
7159	robo-ravens	FTC-Roboravens	Relic-Recovery-2017-2018 Velocity-Vortex-2016-2017
7159	robo-ravens	Team-7159-RoboRavens	First_Age-25-26- Into_The_Deep-24-25 CenterStage_2023-24 PowerPlay UltimateGoal FreightFrenzy training
9266	pyrobots	Pyrobots	FTC9266-2016 FTC9266-2015
sage	creek-schs	SCHS-Robotics	HAL9001 Crow-Force-2020-2021-SCHS LevelUp2019-2020 CrowForce2019_2020_Hal_Updated Team9261-2018-2019 Team10809-2018-2019 Team10809-2016-2017 HAL9001-Quickstart
23673	mech-a-mind	ftc-mech-a-mind	2024-intothedeep 2023-centerstage week5-startercode preseason-2023
24664	robusted	Robusted24664	2025-26_Decode 2024-25_IntoTheDeep
bmms	12778-24142-32210	BMMS-Robotics	bmms-robotraiders-2024 BMMS-Techempire-2024-FINAL bmms-techempire-2024 bmms-steelvengeance-2024 bmms-steelvengeance-2023 bmms-techempire-2023 BMMS-SteelVengence2025-26 Steelveangeance-Block-Editor
12499	gear-up	gearup12499-org	GearUpDecode TaskShark DECODE-CV GearUp2024-5 INTO-THE-DEEP-CV GearUp2023-4 GearUp2022-3 FTC1
11128	inspiration	InspirationRobotics	inspiration_ftc FTC-24-25
6016	ironwolves	Brainthoughts	IronWolves-PowerPlay
11285	patent-pending	RudraP-11285	Limelight3A-SampleDetection
