team,name,season,lang,D1,D2,D3,D4,D5,D6,D7,D8,Total,norm_EPA,state_pctile,winrate,epa_points
0812,Midnight Mechanics,2026,Java,1.5,1,1.5,0,1,1.5,2,1.5,10.0,1546,0.6838,0.5581,68.93
1538,Holy Cows,2025,C++,3,2,1.5,0.5,2,3,3,2,17.0,1670,0.9172,0.6538,65.96
1572,Hammer Heads,2024,Java,2,1.5,1,0,2,2,2,1.5,12.0,1523,0.5603,0.5417,17.19
2102,Team Paradox,2026,Java,2,1,3,0,1.5,3,2,1,13.5,1658,0.8694,0.6379,140.74
2485,Overclocked,2026,Java,2,1.5,1,0,2,2.5,3,2,14.0,1537,0.6667,0.4419,63.84
2658,Sigma Motion,2026,Java,2,1,1,0,2,2,2,1.5,11.5,1479,0.4192,0.5227,36.26
2839,Daedalus,2026,Java,1.5,1,0.5,0,0.5,1,0,1,5.5,1347,0.0172,0.25,2.75
2984,Vikings,2024,Python,1,1,0,0,1,1,0,1,5,1462,0.2908,0.2222,10.65
3128,Aluminum Narwhals,2025,Java,3.5,3,1,0,1,3,2.5,3,17.0,1721,0.9414,0.7045,73.76
3255,SuperNURDs,2026,Java,2,2,0.5,0,2,3,2.5,3,15.0,1744,0.9553,0.6167,202.25
3341,Option 16,2026,Java,2,2,1.5,0,1.5,2,2,1.5,12.5,1447,0.2405,0.48,24.65
3647,Millennium Falcons,2025,Java,3.5,3,3,0,2,3,3,2.5,20.0,1456,0.2793,0.4444,18.38
3749,Team Optix,2023,Java,1.5,1,0.5,0,1,2,2.5,2,10.5,1574,0.7519,0.4722,39.14
4160,RoBucs,2026,Java,2,1,1.5,0,1.5,2,2,1.5,11.5,1485,0.457,0.4074,38.75
4419,Team Rewind,2024,C++,1,1,0,0.5,1,0.5,0,1,5.0,1564,0.7163,0.4583,22.33
4738,Patribots,2025,Java,3,2.5,2,0,3,3,3,3,19.5,1735,0.9586,0.7738,75.97
4919,Team Ronin,2026,Java,1.5,1,1,0,1.5,2,2,1.5,10.5,1449,0.2612,0.4583,25.33
5025,Pacific Steel,2023,Java,1,1,0,0,1,0.5,0,1,4.5,1492,0.4556,0.5455,24.73
5137,Iron Kodiaks,2026,Java,3.5,2,2.5,0,3,2,2.5,2,17.5,1594,0.7766,0.4634,95.07
6695,GalvaKnights,2026,Kotlin,1.5,1,0.5,2,1,2,1.5,2.5,12.0,1564,0.7216,0.4091,78.57
6995,NOMAD,2026,Java,3,1.5,1.5,0,1.5,3,3,2,15.5,1669,0.8797,0.62,144.76
8891,Wild Raccoons,2024,Java,1.5,2,0.5,0,1,2.5,1.5,2,11.0,1515,0.5248,0.5152,16.21
9573,MarauderTech,2026,Java,2,1,1,0,1,1,2,1,9,1415,0.1203,0.2083,15.98
9730,Metal Maniacs,2026,Java,1,1,1,0,1,2,1.5,1,8.5,1470,0.3608,0.3333,32.51
